"""text""","""label"""
BNP PARIBAS FORTIS NV/SA ,DefineIssuerName
"(incorporated as a public company with limited liability (société anonyme/naamloze vennootschap) under the laws of Belgium, having its registered office in Montagne du Parc 3, B-1000 Brussels, and registered with the register of legal entities of Brussels under enterprise No. 0403.199.702) ",DefineIssuerIncorperationPlace
"Issue of Minimum NOK 10,000,000 and maximum NOK 900,000,000 Fixed Rate Notes due February 2022 under the Euro Medium Term Note Programme ",DefineInstrumentMaxAmount
"(c) Minimum Trading Size: NOK 10,000 ",DefineDenomination
"(a) Series: Minimum NOK 10,000,000 and maximum NOK 900,000,000 ",DefineInstrumentMaxAmount
"(a) Specified Denomination(s): NOK 10,000 ",DefineDenomination
"(b) Calculation Amount: NOK 10,000 ",DefineDenomination
" Maturity Date: 14 February 2022, subject to adjustment in accordance with the Following Business Day Convention",DefineInstrumentMaturityDate
"1 Legal and commercial name The Issuer of the Notes is BNP Paribas Fortis SA/NV of the Issuer (""BNPPF"") ",DefineIssuerName
BNP PARIBAS FORTIS NV/SA ,DefineIssuerName
"(incorporated as a public company with limited liability (société anonyme/naamloze vennootschap) under the laws of Belgium, having its registered office in Montagne du Parc 3, B-1000 Brussels, and registered with the register of legal entities of Brussels under enterprise No. 0403.199.702) ",DefineIssuerIncorperationPlace
"(a) Series: Minimum NOK 10,000,000 and maximum NOK 900,000,000 ",DefineInstrumentMaxAmount
"(a) Specified Denomination(s): NOK 10,000 ",DefineDenomination
"(b) Calculation Amount: NOK 10,000 ",DefineDenomination
"(d) Minimum Subscription Amount NOK 10,000 ",DefineDenomination
" Maturity Date: 2 June 2022, subject to adjustment in accordance with the Following Business Day Convention",DefineInstrumentMaturityDate
"(b) Tranche: Minimum NOK 10,000,000 and maximum NOK 900,000,000 ",DefineInstrumentFirstAmount
"(c) Minimum Trading Size: NOK 10,000 ",DefineDenomination
"Specified Denomination: NOK 10,000 ",DefineDenomination
 Entra ASA  Final Terms – 2.49% Entra ASA Unsecured Open Green Bond Issue 2021/2030 ISIN: NO0011041535 ,DefineIssuerName
2.49%Entra ASA Unsecured Open Bond Issue 2021/2030 ,DefineIssuerName
Final Terms – 2.49% Entra ASA Unsecured Open Green Bond Issue 2021/2030 ISIN: NO0011041535 ,DefineIssuerName
"These Final Terms and the Base Prospectus are available on the Issuer's website https://entra.no or on the Issuer's visit address, Biskop Gunnerus gate 14, 0185 Oslo, Norway, or their successor (s). Entra ASA ",DefineIssuerIncorperationPlace
" Entra ASA, Biskop Gunnerus gate 14, 0185 Oslo, Norway",DefineIssuerIncorperationPlace
"Key information on the Issuer Disclosure requirements Disclosure Who is the issuer of the securities Domicile and legal form The Issuer is a public limited liability company incorporated in Norway and primarily organized under the laws of Norway, including the Public Limited Companies Act",DefineIssuerIncorperationPlace
Maturity Date: 1st February 2030 ,DefineInstrumentMaturityDate
9 The Maturity Date is 1st February 2030 ,DefineInstrumentMaturityDate
"Denomination – Each Bond NOK 1,000,000 Any restrictions on the free transferability of the securities",DefineDenomination
" ISIN code NO0011041535 Currency for the bond issue NOK Borrowing Limit and Borrowing Amount Borrowing Limit NOK 3,000,000,000. • Borrowing Amount 1st trance NOK 1,000,000,000",DefineInstrumentMaxAmount
" • Borrowing Amount 1st trance NOK 1,000,000,000. ",DefineInstrumentFirstAmount
"Borrowing Limit – Tap Issue: NOK 3,000,000,000 ",DefineInstrumentMaxAmount
"Borrowing Amount 1st tranche: NOK 1,000,000,000 ",DefineInstrumentFirstAmount
"Denomination – Each bond: NOK 1,000,000 - each and ranking pari passu among themselves ",DefineDenomination
The representative of the bondholders is Nordic Trustee AS,DefineAgent
"The Bond Trustee is Nordic Trustee AS, Postboks 1470 Vika, NO-0116 Oslo, Norway. ",DefineAgent
"2 The Issuer's registered office and legal form, legislation applying to the Issuer and country of incorporation Nykredit Realkredit A/S is a Danish public limited company. The Issuer carries on mortgage banking activities in accordance with Danish law. Nykredit's registered address is Kalvebod Brygge 1-3, DK-1780 Copenhagen V, Denmark. ",DefineIssuerIncorperationPlace
 Denomination: 0.01 ,DefineDenomination
"2 The Issuer's registered office and legal form, legislation applying to the Issuer and country of incorporation Nykredit Realkredit A/S is a Danish public limited company. The Issuer carries on mortgage banking activities in accordance with Danish law. Nykredit's registered address is Kalvebod Brygge 1-3, DK-1780 Copenhagen V, Denmark",DefineIssuerIncorperationPlace
New Final Bond Terms for Nykredit Realkredit A/S's Base Prospectus dated 15 May 2017 ,DefineIssuerName
"In connection with the opening of new ISINs under Nykredit Realkredit A/S's Base Prospectus dated 15 May 2017 with amendments, Nykredit issues new Final Bond Terms. ",DefineIssuerName
"Nykredit Realkredit A/S's Base Prospectus dated 15 May 2017 and the relevant Final Bond Terms are available for download in Danish and English. In the event of discrepancies between the original Danish text and the English translation, the Danish text shall prevail. The documents can be found on Nykredit's website at nykredit",DefineIssuerName
"The Bonds have been issued pursuant to Nykredit Realkredit A/S's base prospectus dated 15 May 2017 (the ""Base Prospectus""). ",DefineIssuerName
 Maturity Date: 01-10-2040 ,DefineInstrumentMaturityDate
"The Bonds have been issued pursuant to Nykredit Realkredit A/S's base prospectus dated 17 June 2014 (the ""Base Prospectus""). ",DefineIssuerName
" Place of registration: VP Securities A/S, Weidekampsgade 14, PO Box 4040, DK-2300 Copenhagen S ",DefineIssuerIncorperationPlace
 1 Legal name and secondary names of the Issuer Nykredit Realkredit A/S,DefineIssuerName
"2 The Issuer's registered office and legal form, legislation applying to the Issuer and country of incorporation Nykredit Realkredit A/S is a Danish public limited company. The Issuer carries on mortgage banking activities in accordance with the Danish Financial Business Act. Nykredit's registered address is Kalvebod Brygge 1-3, DK-1780 Copenhagen V, Denmark. ",DefineIssuerIncorperationPlace
 Denomination:  Interest and payment 0.01 ,DefineDenomination
" All references to the “Issuer” refer to Stockmann plc, except where the context may otherwise require. ",DefineIssuerName
